time_id;date;time;day_of_week;month;year
1;05.01.2019;13:08:00;Saturday;1;2019
2;08.03.2019;10:29:00;Friday;3;2019
3;03.03.2019;13:23:00;Sunday;3;2019
4;27.01.2019;20:33:00;Sunday;1;2019
5;08.02.2019;10:37:00;Friday;2;2019
6;25.03.2019;18:30:00;Monday;3;2019
7;25.02.2019;14:36:00;Monday;2;2019
8;24.02.2019;11:38:00;Sunday;2;2019
9;10.01.2019;17:15:00;Thursday;1;2019
10;20.02.2019;13:27:00;Wednesday;2;2019
11;06.02.2019;18:07:00;Wednesday;2;2019
12;09.03.2019;17:03:00;Saturday;3;2019
13;12.02.2019;10:25:00;Tuesday;2;2019
14;07.02.2019;16:48:00;Thursday;2;2019
15;29.03.2019;19:21:00;Friday;3;2019
16;15.01.2019;16:19:00;Tuesday;1;2019
17;11.03.2019;11:03:00;Monday;3;2019
18;01.01.2019;10:39:00;Tuesday;1;2019
19;21.01.2019;18:00:00;Monday;1;2019
20;11.03.2019;15:30:00;Monday;3;2019
21;25.02.2019;11:24:00;Monday;2;2019
22;05.03.2019;10:40:00;Tuesday;3;2019
23;15.03.2019;12:20:00;Friday;3;2019
24;17.02.2019;11:15:00;Sunday;2;2019
25;02.03.2019;17:36:00;Saturday;3;2019
26;22.03.2019;19:20:00;Friday;3;2019
27;08.02.2019;15:31:00;Friday;2;2019
28;10.03.2019;12:17:00;Sunday;3;2019
29;25.01.2019;19:48:00;Friday;1;2019
30;15.03.2019;15:36:00;Friday;3;2019
31;25.02.2019;19:39:00;Monday;2;2019
32;28.01.2019;12:43:00;Monday;1;2019
33;10.01.2019;14:49:00;Thursday;1;2019
34;15.03.2019;10:12:00;Friday;3;2019
35;06.02.2019;10:42:00;Wednesday;2;2019
36;07.01.2019;12:28:00;Monday;1;2019
37;10.03.2019;19:15:00;Sunday;3;2019
38;15.01.2019;17:17:00;Tuesday;1;2019
39;23.03.2019;13:24:00;Saturday;3;2019
40;03.03.2019;13:01:00;Sunday;3;2019
41;17.01.2019;18:45:00;Thursday;1;2019
42;02.02.2019;10:11:00;Saturday;2;2019
43;08.02.2019;13:03:00;Friday;2;2019
44;04.03.2019;20:39:00;Monday;3;2019
45;16.03.2019;19:47:00;Saturday;3;2019
46;09.03.2019;18:00:00;Saturday;3;2019
47;27.02.2019;17:24:00;Wednesday;2;2019
48;06.02.2019;15:47:00;Wednesday;2;2019
49;10.02.2019;12:45:00;Sunday;2;2019
50;19.03.2019;17:08:00;Tuesday;3;2019
51;03.02.2019;10:19:00;Sunday;2;2019
52;10.02.2019;15:10:00;Sunday;2;2019
53;22.03.2019;14:42:00;Friday;3;2019
