sale_id;invoice_id;store_id;time_id;product_id;customer_id;gender;unit_price;quantity;tax;total;payment_method;cogs;gross_margin_percentage;gross_income;rating
1;750-67-8428;1;1;1;1;Female;74.69;7;26.14;548.97;Ewallet;522.83;4.761905;26.14;09.янв
2;226-31-3081;2;2;2;2;Female;15.28;5;мар.82;80.22;Cash;76.40;4.761905;мар.82;09.июн
3;631-41-3108;1;3;3;2;Male;46.33;7;16.22;340.53;Credit card;324.31;4.761905;16.22;07.апр
4;123-19-1176;1;4;1;1;Male;58.22;8;23.29;489.05;Ewallet;465.76;4.761905;23.29;08.апр
5;373-73-7910;1;5;4;2;Male;86.31;7;30.21;634.38;Ewallet;604.17;4.761905;30.21;05.мар
6;699-14-3026;2;6;2;2;Male;85.39;7;29.89;627.62;Ewallet;597.73;4.761905;29.89;04.янв
7;355-53-5943;1;7;2;1;Female;68.84;6;20.65;433.69;Ewallet;413.04;4.761905;20.65;05.авг
8;315-22-5665;2;8;3;2;Female;73.56;10;36.78;772.38;Ewallet;735.60;4.761905;36.78;8.0
9;665-32-9167;1;9;1;1;Female;36.26;2;мар.63;76.15;Credit card;72.52;4.761905;мар.63;07.фев
10;692-92-5582;3;10;5;1;Female;54.84;3;авг.23;172.75;Credit card;164.52;4.761905;авг.23;05.сен
11;351-62-0822;3;11;6;1;Female;14.48;4;фев.90;60.82;Ewallet;57.92;4.761905;фев.90;04.май
12;529-56-3974;3;12;2;1;Male;25.51;4;05.окт;107.14;Cash;102.04;4.761905;05.окт;06.авг
13;365-64-0515;1;13;2;2;Female;46.95;5;ноя.74;246.49;Ewallet;234.75;4.761905;ноя.74;07.янв
14;252-56-2699;1;14;5;2;Male;43.19;10;21.60;453.50;Ewallet;431.90;4.761905;21.60;08.фев
15;829-34-3910;1;15;1;2;Female;71.38;10;35.69;749.49;Cash;713.80;4.761905;35.69;05.июл
16;299-46-1805;3;16;4;1;Female;93.72;6;28.дек;590.44;Cash;562.32;4.761905;28.дек;04.май
17;656-95-9349;1;17;1;1;Female;68.93;7;24.13;506.64;Credit card;482.51;4.761905;24.13;04.июн
18;765-26-6951;1;18;4;2;Male;72.61;6;21.78;457.44;Credit card;435.66;4.761905;21.78;06.сен
19;329-62-1586;1;19;5;2;Male;54.67;3;авг.20;172.21;Credit card;164.01;4.761905;авг.20;08.июн
20;319-50-3348;3;20;3;2;Female;40.30;2;04.мар;84.63;Ewallet;80.60;4.761905;04.мар;04.апр
21;300-71-4605;2;21;2;1;Male;86.04;5;21.51;451.71;Ewallet;430.20;4.761905;21.51;04.авг
22;371-85-5789;3;22;1;2;Male;87.98;3;13.20;277.14;Ewallet;263.94;4.761905;13.20;05.янв
23;273-16-6619;3;23;3;2;Male;33.20;2;мар.32;69.72;Credit card;66.40;4.761905;мар.32;04.апр
24;636-48-8204;1;24;2;2;Male;34.56;5;авг.64;181.44;Ewallet;172.80;4.761905;авг.64;09.сен
25;549-59-1358;1;25;4;1;Male;88.63;3;13.29;279.18;Ewallet;265.89;4.761905;13.29;6.0
26;227-03-5010;1;26;3;1;Female;52.59;8;21.апр;441.76;Credit card;420.72;4.761905;21.апр;08.май
27;649-29-6775;3;27;6;2;Male;33.52;1;янв.68;35.20;Cash;33.52;4.761905;янв.68;06.июл
28;189-17-4241;1;28;6;2;Female;87.67;2;авг.77;184.11;Credit card;175.34;4.761905;авг.77;07.июл
29;145-94-9061;3;29;5;2;Female;88.36;5;22.сен;463.89;Cash;441.80;4.761905;22.сен;09.июн
30;848-62-7243;1;30;1;2;Male;24.89;9;ноя.20;235.21;Cash;224.01;4.761905;ноя.20;07.апр
31;871-79-8483;3;31;6;2;Male;94.13;5;23.53;494.18;Credit card;470.65;4.761905;23.53;04.авг
32;149-71-6266;3;32;4;1;Male;78.07;9;35.13;737.76;Cash;702.63;4.761905;35.13;04.май
33;640-49-2076;3;33;4;2;Male;83.78;8;33.51;703.75;Cash;670.24;4.761905;33.51;05.янв
34;595-11-5460;1;34;1;2;Male;96.58;2;сен.66;202.82;Credit card;193.16;4.761905;сен.66;05.янв
35;183-56-6882;2;35;5;1;Female;99.42;4;19.88;417.56;Ewallet;397.68;4.761905;19.88;07.май
36;232-16-2483;2;36;4;1;Female;68.12;1;мар.41;71.53;Ewallet;68.12;4.761905;мар.41;06.авг
37;129-29-8530;1;37;4;1;Male;62.62;5;15.66;328.76;Ewallet;313.10;4.761905;15.66;7.0
38;272-65-1806;1;38;2;2;Female;60.88;9;27.40;575.32;Ewallet;547.92;4.761905;27.40;04.июл
39;333-73-7901;2;39;1;2;Female;54.92;8;21.97;461.33;Ewallet;439.36;4.761905;21.97;07.июн
40;777-82-7220;3;40;3;1;Male;30.дек;8;12.май;253.01;Cash;240.96;4.761905;12.май;07.июл
41;280-35-5823;3;41;3;1;Female;86.72;1;апр.34;91.06;Ewallet;86.72;4.761905;апр.34;07.сен
42;554-53-8700;2;42;3;1;Male;56.11;2;май.61;117.83;Cash;112.22;4.761905;май.61;06.мар
43;354-25-5821;3;43;4;1;Female;69.12;6;20.74;435.46;Cash;414.72;4.761905;20.74;05.июн
44;228-96-1411;2;44;5;1;Female;98.70;8;39.48;829.08;Cash;789.60;4.761905;39.48;07.июн
45;617-15-4209;2;45;1;1;Male;15.37;2;янв.54;32.28;Cash;30.74;4.761905;янв.54;07.фев
46;132-32-9879;3;46;2;1;Female;93.96;4;18.79;394.63;Cash;375.84;4.761905;18.79;09.май
47;370-41-7321;3;47;1;1;Male;56.69;9;25.51;535.72;Credit card;510.21;4.761905;25.51;08.апр
48;727-46-3608;3;48;5;1;Female;20.янв;9;9.00;189.09;Ewallet;180.09;4.761905;9.00;04.янв
49;669-54-1719;3;49;2;1;Male;18.93;6;май.68;119.26;Credit card;113.58;4.761905;май.68;08.янв
50;574-22-5561;2;50;6;1;Female;82.63;10;41.32;867.62;Ewallet;826.30;4.761905;41.32;07.сен
51;326-78-5178;2;51;5;1;Male;91.40;7;31.99;671.79;Cash;639.80;4.761905;31.99;09.май
52;162-48-8011;1;52;5;1;Female;44.59;5;ноя.15;234.10;Cash;222.95;4.761905;ноя.15;08.май
53;616-24-2851;3;53;6;1;Female;17.87;4;мар.57;75.05;Ewallet;71.48;4.761905;мар.57;06.май
54;778-71-5554;2;54;6;1;Male;15.43;1;0.77;16.20;Credit card;15.43;4.761905;0.77;06.янв
55;242-55-6721;3;55;3;2;Male;16.16;2;янв.62;33.94;Ewallet;32.32;4.761905;янв.62;06.май
56;399-46-5918;2;56;2;2;Female;85.98;8;34.39;722.23;Cash;687.84;4.761905;34.39;08.фев
57;106-35-6779;1;57;3;1;Male;44.34;2;апр.43;93.11;Cash;88.68;4.761905;апр.43;05.авг
58;635-40-6220;1;58;1;2;Male;89.60;8;35.84;752.64;Ewallet;716.80;4.761905;35.84;06.июн
59;817-48-8732;1;59;3;1;Female;72.35;10;36.18;759.68;Cash;723.50;4.761905;36.18;05.апр
60;120-06-4233;2;60;2;2;Male;30.61;6;сен.18;192.84;Cash;183.66;4.761905;сен.18;09.мар
61;285-68-5083;2;61;4;1;Female;24.74;3;мар.71;77.93;Credit card;74.22;4.761905;мар.71;10.0
62;803-83-5989;2;62;3;2;Male;55.73;6;16.72;351.10;Ewallet;334.38;4.761905;16.72;7.0
