iso_code,location,perc_recovered
AND,Andorra,15.543907331909661
MNE,Montenegro,14.523725364693293
CZE,Czechia,14.308848404077997
SMR,San Marino,13.937179562732041
SVN,Slovenia,10.370805779121204
LUX,Luxembourg,9.847342390123583
ISR,Israel,9.625106044786802
USA,United States,9.203010995860707
SRB,Serbia,8.826328557933492
BHR,Bahrain,8.488860079114566
PAN,Panama,8.228739065460761
PRT,Portugal,8.058699735120369
EST,Estonia,8.022681579659551
SWE,Sweden,7.969744347858805
LTU,Lithuania,7.938864728274825
